Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Rollover,ExitType
,Long,EUR/CHF,894123,2,13.06.13 21:00,27.06.13 12:00,1.23340,1.23296,-0.61048,0.04800,Target
,Long,EUR/CHF,917924,4,20.06.13 23:00,27.06.13 12:00,1.22610,1.23296,22.403,0.04800,Target
,Long,EUR/CHF,925925,6,24.06.13 18:00,27.06.13 12:00,1.22391,1.23296,44.029,0.03600,Target
,Long,EUR/CHF,939226,1,27.06.13 12:30,28.06.13 06:30,1.23262,1.23438,1.43007,0.00200,Target
,Long,EUR/CHF,942927,1,28.06.13 07:00,01.07.13 13:30,1.23484,1.23713,1.87606,0.00400,Target
,Long,EUR/CHF,946128,1,01.07.13 02:00,01.07.13 13:30,1.23008,1.23713,5.7042,0.00000,Target
,Long,EUR/CHF,947229,1,01.07.13 07:30,01.07.13 13:30,1.23219,1.23713,3.9967,0.00000,Target
,Long,EUR/CHF,948530,1,01.07.13 14:00,08.07.13 12:00,1.23662,1.24019,2.9167,0.01200,Target
,Long,EUR/CHF,948931,1,01.07.13 16:00,08.07.13 12:00,1.23454,1.24019,4.5803,0.01200,Target
,Long,EUR/CHF,958132,1,03.07.13 14:00,08.07.13 12:00,1.23182,1.24019,6.7986,0.00800,Target
,Long,EUR/CHF,968933,1,07.07.13 23:00,08.07.13 12:00,1.23873,1.24019,1.20368,0.00400,Target
,Long,EUR/CHF,971634,1,08.07.13 12:30,09.07.13 05:30,1.24000,1.24176,1.43894,0.00200,Target
,Long,EUR/CHF,975135,1,09.07.13 06:00,09.07.13 06:30,1.24228,1.24404,1.42364,0.00000,Target
,Long,EUR/CHF,975336,1,09.07.13 07:00,09.07.13 08:00,1.24419,1.24595,1.44333,0.00000,Target
,Long,EUR/CHF,975637,1,09.07.13 08:30,13.08.13 13:00,1.24573,1.23802,-6.1242,0.06000,Target
,Long,EUR/CHF,975738,1,09.07.13 09:00,13.08.13 13:00,1.24354,1.23802,-4.4069,0.06000,Target
,Long,EUR/CHF,982239,1,10.07.13 17:30,13.08.13 13:00,1.24140,1.23802,-2.6637,0.05800,Target
,Long,EUR/CHF,985640,1,11.07.13 10:30,13.08.13 13:00,1.23927,1.23802,-0.95556,0.05600,Target
,Long,EUR/CHF,992341,2,14.07.13 23:00,13.08.13 13:00,1.23676,1.23802,2.1607,0.10800,Target
,Long,EUR/CHF,1005442,4,17.07.13 16:30,13.08.13 13:00,1.23425,1.23802,12.3992,0.18400,Target
,Long,EUR/CHF,1038543,6,26.07.13 17:00,13.08.13 13:00,1.23218,1.23802,28.537,0.18000,Target
,Long,EUR/CHF,1068244,11,06.08.13 03:30,13.08.13 13:00,1.22949,1.23802,76.028,0.13200,Target
,Long,EUR/CHF,1093645,1,13.08.13 13:30,14.08.13 05:30,1.23743,1.23919,1.43426,0.00200,Target
,Long,EUR/CHF,1097046,1,14.08.13 06:30,15.08.13 10:00,1.24083,1.24259,1.42909,0.00200,Target
,Long,EUR/CHF,1102647,1,15.08.13 10:30,05.09.13 05:00,1.24294,1.23692,-4.8304,0.03600,Target
,Long,EUR/CHF,1103348,1,15.08.13 14:00,05.09.13 05:00,1.24064,1.23692,-2.8878,0.03600,Target
,Long,EUR/CHF,1103449,1,15.08.13 14:30,05.09.13 05:00,1.23766,1.23692,-0.56168,0.03600,Target
,Long,EUR/CHF,1108850,1,16.08.13 17:30,05.09.13 05:00,1.23476,1.23692,1.78533,0.03400,Target
,Long,EUR/CHF,1114251,2,19.08.13 23:30,05.09.13 05:00,1.23272,1.23692,6.8478,0.06000,Target
,Long,EUR/CHF,1119552,4,21.08.13 02:00,05.09.13 05:00,1.23051,1.23692,20.828,0.10400,Target
,Long,EUR/CHF,1143253,6,28.08.13 04:00,05.09.13 05:00,1.22850,1.23692,40.942,0.08400,Target
,Long,EUR/CHF,1171754,1,05.09.13 05:30,05.09.13 07:30,1.23781,1.23957,1.42635,0.00000,Target
