
BackTest: Z4 EUR/CHF 2011..2014
[364: Tue 06.09. 04:00]  1.10595-1.10529-1.10610-1.10580
[365: Tue 06.09. 05:00]  1.10580-1.10294-1.10582-1.10318
[366: Tue 06.09. 06:00]  1.10318-1.10210-1.10477-1.10345
[367: Tue 06.09. 07:00]  1.10345-1.10326-1.12007-1.11775
[368: Tue 06.09. 08:00]  1.11775-1.11526-1.12854-1.12677
[369: Tue 06.09. 09:00]  1.12677-1.12560-1.21982-1.20326
[370: Tue 06.09. 10:00]  1.20326-1.20140-1.20447-1.20320
[371: Tue 06.09. 11:00]  1.20320-1.20274-1.20438-1.20348
[372: Tue 06.09. 12:00]  1.20348-1.20320-1.20558-1.20405
[373: Tue 06.09. 13:00]  1.20405-1.20250-1.20494-1.20306
[374: Tue 06.09. 14:00]  1.20306-1.20217-1.20421-1.20266
[375: Tue 06.09. 15:00]  1.20266-1.20168-1.20398-1.20225
[376: Tue 06.09. 16:00]  1.20225-1.20121-1.20350-1.20314
[377: Tue 06.09. 17:00]  1.20314-1.20206-1.20494-1.20441
[378: Tue 06.09. 18:00]  1.20441-1.20412-1.20596-1.20588
[379: Tue 06.09. 19:00]  1.20588-1.20445-1.20814-1.20519
[380: Tue 06.09. 20:00]  1.20519-1.20457-1.20697-1.20595
[381: Tue 06.09. 21:00]  1.20595-1.20476-1.20750-1.20720
[382: Tue 06.09. 22:00]  1.20720-1.20625-1.20814-1.20730
[383: Tue 06.09. 23:00]  1.20730-1.20602-1.20799-1.20667
[384: Wed 07.09. 00:00]  1.20667-1.20531-1.20731-1.20672
[385: Wed 07.09. 01:00]  1.20672-1.20492-1.20782-1.20518
[386: Wed 07.09. 02:00]  1.20518-1.20515-1.20711-1.20529
[387: Wed 07.09. 03:00]  1.20529-1.20434-1.20563-1.20527
[388: Wed 07.09. 04:00]  1.20527-1.20413-1.20605-1.20485
[389: Wed 07.09. 05:00]  1.20485-1.20367-1.20498-1.20416
[390: Wed 07.09. 06:00]  1.20416-1.20362-1.20562-1.20530
[391: Wed 07.09. 07:00]  1.20530-1.20390-1.20646-1.20566
[392: Wed 07.09. 08:00]  1.20566-1.20526-1.20716-1.20664
[393: Wed 07.09. 09:00]  1.20664-1.20516-1.20866-1.20671
[394: Wed 07.09. 10:00]  1.20671-1.20577-1.20759-1.20678
[395: Wed 07.09. 11:00]  1.20678-1.20489-1.20707-1.20495
[396: Wed 07.09. 12:00]  1.20495-1.20480-1.20630-1.20529
[397: Wed 07.09. 13:00]  1.20529-1.20439-1.20784-1.20656
[398: Wed 07.09. 14:00]  1.20656-1.20620-1.20734-1.20692
[399: Wed 07.09. 15:00]  1.20692-1.20618-1.20753-1.20725
[400: Wed 07.09. 16:00]  1.20725-1.20668-1.20913-1.20892
[401: Wed 07.09. 17:00]  1.20892-1.20861-1.21017-1.20949
[402: Wed 07.09. 18:00]  1.20949-1.20933-1.21116-1.20981
[403: Wed 07.09. 19:00]  1.20981-1.20882-1.21081-1.20891
[404: Wed 07.09. 20:00]  1.20891-1.20887-1.21107-1.21064
[405: Wed 07.09. 21:00]  1.21064-1.20899-1.21091-1.20902
[406: Wed 07.09. 22:00]  1.20902-1.20892-1.21060-1.20916
